"id","latitude","longitude","year","name","maturity","bottom_depth","surface_temperature","bottom_temperature","haul","cpue"
187445,57.33959,-164.00767,1980,"hair crab","Total female",60,3.2,1.5,28,113
187446,57.33675,-160.91067,1980,"hair crab","Total female",64,1.7,1.4,55,105
187447,57.33583,-168.94117,1980,"hair crab","Total female",71,5.7,3.4,103,195
187448,57.334,-170.21267,1980,"hair crab","Total female",53,5.3,5.1,60,9875
188334,55.34417,-163.42834,1980,"hair crab","Total female",51,,,42,858
188335,55.99809,-162.82284,1980,"hair crab","Total female",77,5.1,3,39,125
188336,56.017,-162.22892,1980,"hair crab","Total female",71,3.3,3.2,22,89
188337,56.65217,-160.97292,1980,"hair crab","Total female",70,4.7,2.8,66,190
188338,56.6825,-160.37867,1980,"hair crab","Total female",59,4.3,2.7,63,173
188339,57.01225,-161.57733,1980,"hair crab","Total female",68,1.4,1.4,37,106
188340,59.00717,-169.15659,1980,"hair crab","Total female",53,2.9,1.3,124,94
188661,55.02067,-166.94992,1980,"hair crab","Total male",157,5.5,3.8,69,173
188662,55.35692,-167.57367,1980,"hair crab","Total male",148,6.1,4.5,76,82
188663,55.33284,-163.99592,1980,"hair crab","Total male",75,6.5,4,84,264
188664,55.34417,-163.42834,1980,"hair crab","Total male",51,,,42,1225
188665,55.64542,-167.57284,1980,"hair crab","Total male",135,5.3,5,74,92
188666,55.67175,-162.85317,1980,"hair crab","Total male",49,5.5,3.9,40,147
188667,56.017,-162.22892,1980,"hair crab","Total male",71,3.3,3.2,22,178
188668,56.00975,-168.21667,1980,"hair crab","Total male",144,6,3.7,44,228
188669,56.334,-162.79758,1980,"hair crab","Total male",77,5.7,3,38,150
188670,56.3475,-162.1995,1980,"hair crab","Total male",79,3.1,2.4,23,184
188671,56.32309,-161.6535,1980,"hair crab","Total male",64,4.7,3.1,68,176
188672,56.32609,-161.01909,1980,"hair crab","Total male",53,4.7,3.8,67,292
188673,56.34025,-169.45759,1980,"hair crab","Total male",143,6,4,80,124
188674,56.68359,-167.06292,1980,"hair crab","Total male",95,5.8,2.7,78,93
188675,56.67892,-164.00609,1980,"hair crab","Total male",73,4.5,1.5,26,111
188676,56.678,-163.39884,1980,"hair crab","Total male",75,3.1,2,25,108
188677,56.6805,-162.78958,1980,"hair crab","Total male",70,4.8,2.5,37,113
188678,56.65217,-160.97292,1980,"hair crab","Total male",70,4.7,2.8,66,190
188679,56.6825,-160.37867,1980,"hair crab","Total male",59,4.3,2.7,63,259
188680,56.67209,-168.2575,1980,"hair crab","Total male",106,6.2,3.5,136,97
188681,57,-167.7305,1980,"hair crab","Total male",77,6.1,2.7,132,185
188682,57.0115,-165.21833,1980,"hair crab","Total male",68,2.4,2,16,109
188853,57.00834,-164,1980,"hair crab","Total male",66,4.6,2,27,456
188854,57.01309,-163.39492,1980,"hair crab","Total male",66,2,1.9,26,113
188855,56.99775,-162.78767,1980,"hair crab","Total male",57,4.6,2,36,228
188856,56.982,-162.16108,1980,"hair crab","Total male",62,2,2.1,35,90
188857,57.01225,-161.57733,1980,"hair crab","Total male",68,1.4,1.4,37,106
188858,56.99859,-160.36942,1980,"hair crab","Total male",60,4.5,2.2,64,167
188859,56.99384,-168.36484,1980,"hair crab","Total male",80,6,3.1,133,84
188860,56.99409,-169.55884,1980,"hair crab","Total male",77,5,4.5,51,16476
188861,56.99609,-170.19067,1980,"hair crab","Total male",68,4.5,4.5,67,7921
188862,57.00659,-173.25409,1980,"hair crab","Total male",137,6.4,3.6,86,131
188863,57.31759,-167.72867,1980,"hair crab","Total male",73,6.1,3,131,481
188864,57.32834,-166.47275,1980,"hair crab","Total male",68,3.5,4.6,8,241
188865,57.33675,-160.91067,1980,"hair crab","Total male",64,1.7,1.4,55,105
188866,57.33975,-159.03375,1980,"hair crab","Total male",48,3.5,2.7,58,87
188867,57.33517,-168.33884,1980,"hair crab","Total male",73,5.4,3.4,104,504
188868,57.33583,-168.94117,1980,"hair crab","Total male",71,5.7,3.4,103,12466
188869,59.32959,-168.545,1980,"hair crab","Total male",40,2.2,,102,183
188870,59.32833,-169.8375,1980,"hair crab","Total male",60,2.9,,100,80
188871,59.33025,-170.50567,1980,"hair crab","Total male",68,3.1,,99,173
188872,60.00633,-171.27392,1980,"hair crab","Total male",70,4.9,-0.9,168,194
188873,60.02133,-171.95484,1980,"hair crab","Total male",66,4.3,-0.9,167,94
188874,60.33784,-170.69425,1980,"hair crab","Total male",62,4.5,-0.9,174,96
188875,54.6575,-165.1575,1980,"hair crab","Total male",82,6.6,6,125,584
189125,57.3415,-169.61684,1980,"hair crab","Total male",60,3.6,2.9,50,814
